channel,total,errors,ber
0,0,0,
1,0,0,
2,0,0,
3,2880,217,0.07534722238779068
4,2880,179,0.06215277686715126
5,2880,365,0.1267361044883728
6,2880,281,0.09756944328546524
7,2880,217,0.07534722238779068
