time,total,errors,ber,time_sec_start,time_sec_end
110,80,4,0.05000000074505806,4.296875,4.3359375
111,80,7,0.08749999850988388,4.3359375,4.375
112,80,4,0.05000000074505806,4.375,4.4140625
113,80,3,0.03750000149011612,4.4140625,4.453125
114,80,4,0.05000000074505806,4.453125,4.4921875
115,80,9,0.11249999701976776,4.4921875,4.53125
116,80,5,0.0625,4.53125,4.5703125
117,80,11,0.13750000298023224,4.5703125,4.609375
118,80,10,0.125,4.609375,4.6484375
119,80,10,0.125,4.6484375,4.6875
120,80,6,0.07500000298023224,4.6875,4.7265625
121,80,8,0.10000000149011612,4.7265625,4.765625
122,80,7,0.08749999850988388,4.765625,4.8046875
123,80,5,0.0625,4.8046875,4.84375
124,80,7,0.08749999850988388,4.84375,4.8828125
125,80,4,0.05000000074505806,4.8828125,4.921875
126,80,8,0.10000000149011612,4.921875,4.9609375
127,80,7,0.08749999850988388,4.9609375,5.0
128,80,7,0.08749999850988388,5.0,5.0390625
129,80,12,0.15000000596046448,5.0390625,5.078125
130,80,13,0.16249999403953552,5.078125,5.1171875
131,80,6,0.07500000298023224,5.1171875,5.15625
132,80,3,0.03750000149011612,5.15625,5.1953125
133,80,5,0.0625,5.1953125,5.234375
134,80,12,0.15000000596046448,5.234375,5.2734375
135,80,14,0.17499999701976776,5.2734375,5.3125
136,80,9,0.11249999701976776,5.3125,5.3515625
137,80,5,0.0625,5.3515625,5.390625
138,80,6,0.07500000298023224,5.390625,5.4296875
139,80,4,0.05000000074505806,5.4296875,5.46875
140,80,3,0.03750000149011612,5.46875,5.5078125
141,80,3,0.03750000149011612,5.5078125,5.546875
142,80,2,0.02500000037252903,5.546875,5.5859375
143,80,0,0.0,5.5859375,5.625
144,80,8,0.10000000149011612,5.625,5.6640625
145,80,6,0.07500000298023224,5.6640625,5.703125
146,80,4,0.05000000074505806,5.703125,5.7421875
147,80,1,0.012500000186264515,5.7421875,5.78125
148,80,5,0.0625,5.78125,5.8203125
149,80,4,0.05000000074505806,5.8203125,5.859375
150,80,8,0.10000000149011612,5.859375,5.8984375
151,80,5,0.0625,5.8984375,5.9375
152,80,6,0.07500000298023224,5.9375,5.9765625
153,80,7,0.08749999850988388,5.9765625,6.015625
154,80,4,0.05000000074505806,6.015625,6.0546875
155,80,2,0.02500000037252903,6.0546875,6.09375
156,80,7,0.08749999850988388,6.09375,6.1328125
157,80,12,0.15000000596046448,6.1328125,6.171875
158,80,9,0.11249999701976776,6.171875,6.2109375
159,80,5,0.0625,6.2109375,6.25
160,80,4,0.05000000074505806,6.25,6.2890625
161,80,7,0.08749999850988388,6.2890625,6.328125
162,80,12,0.15000000596046448,6.328125,6.3671875
163,80,8,0.10000000149011612,6.3671875,6.40625
164,80,11,0.13750000298023224,6.40625,6.4453125
165,80,13,0.16249999403953552,6.4453125,6.484375
166,80,14,0.17499999701976776,6.484375,6.5234375
167,80,8,0.10000000149011612,6.5234375,6.5625
168,80,10,0.125,6.5625,6.6015625
169,80,2,0.02500000037252903,6.6015625,6.640625
170,80,3,0.03750000149011612,6.640625,6.6796875
171,80,3,0.03750000149011612,6.6796875,6.71875
172,80,12,0.15000000596046448,6.71875,6.7578125
173,80,4,0.05000000074505806,6.7578125,6.796875
174,80,5,0.0625,6.796875,6.8359375
175,80,6,0.07500000298023224,6.8359375,6.875
176,80,13,0.16249999403953552,6.875,6.9140625
177,80,7,0.08749999850988388,6.9140625,6.953125
178,80,9,0.11249999701976776,6.953125,6.9921875
179,80,11,0.13750000298023224,6.9921875,7.03125
180,0,0,,7.03125,7.0703125
181,0,0,,7.0703125,7.109375
182,0,0,,7.109375,7.1484375
183,0,0,,7.1484375,7.1875
184,0,0,,7.1875,7.2265625
185,0,0,,7.2265625,7.265625
186,0,0,,7.265625,7.3046875
187,0,0,,7.3046875,7.34375
188,0,0,,7.34375,7.3828125
189,0,0,,7.3828125,7.421875
190,0,0,,7.421875,7.4609375
191,0,0,,7.4609375,7.5
192,0,0,,7.5,7.5390625
193,0,0,,7.5390625,7.578125
194,0,0,,7.578125,7.6171875
195,0,0,,7.6171875,7.65625
196,0,0,,7.65625,7.6953125
197,0,0,,7.6953125,7.734375
198,0,0,,7.734375,7.7734375
199,0,0,,7.7734375,7.8125
200,0,0,,7.8125,7.8515625
201,0,0,,7.8515625,7.890625
202,0,0,,7.890625,7.9296875
203,0,0,,7.9296875,7.96875
204,0,0,,7.96875,8.0078125
205,0,0,,8.0078125,8.046875
206,0,0,,8.046875,8.0859375
207,0,0,,8.0859375,8.125
208,0,0,,8.125,8.1640625
209,0,0,,8.1640625,8.203125
210,0,0,,8.203125,8.2421875
211,0,0,,8.2421875,8.28125
212,0,0,,8.28125,8.3203125
213,0,0,,8.3203125,8.359375
214,0,0,,8.359375,8.3984375
215,0,0,,8.3984375,8.4375
216,0,0,,8.4375,8.4765625
217,0,0,,8.4765625,8.515625
218,0,0,,8.515625,8.5546875
219,0,0,,8.5546875,8.59375
220,0,0,,8.59375,8.6328125
221,0,0,,8.6328125,8.671875
222,0,0,,8.671875,8.7109375
223,0,0,,8.7109375,8.75
224,0,0,,8.75,8.7890625
225,0,0,,8.7890625,8.828125
226,0,0,,8.828125,8.8671875
227,0,0,,8.8671875,8.90625
228,0,0,,8.90625,8.9453125
229,0,0,,8.9453125,8.984375
230,0,0,,8.984375,9.0234375
231,0,0,,9.0234375,9.0625
232,0,0,,9.0625,9.1015625
233,0,0,,9.1015625,9.140625
234,0,0,,9.140625,9.1796875
235,0,0,,9.1796875,9.21875
236,0,0,,9.21875,9.2578125
237,0,0,,9.2578125,9.296875
238,0,0,,9.296875,9.3359375
239,0,0,,9.3359375,9.375
240,0,0,,9.375,9.4140625
241,0,0,,9.4140625,9.453125
242,0,0,,9.453125,9.4921875
243,0,0,,9.4921875,9.53125
244,0,0,,9.53125,9.5703125
245,0,0,,9.5703125,9.609375
246,0,0,,9.609375,9.6484375
247,0,0,,9.6484375,9.6875
248,0,0,,9.6875,9.7265625
249,0,0,,9.7265625,9.765625
250,0,0,,9.765625,9.8046875
251,0,0,,9.8046875,9.84375
252,0,0,,9.84375,9.8828125
253,0,0,,9.8828125,9.921875
254,0,0,,9.921875,9.9609375
255,0,0,,9.9609375,10.0
