channel,total,errors,ber
0,4096,1131,0.276123046875
1,4096,1665,0.406494140625
2,4096,1785,0.435791015625
3,4096,623,0.152099609375
4,4096,694,0.16943359375
5,4096,858,0.20947265625
6,4096,705,0.172119140625
7,4096,696,0.169921875
