channel,total,errors,ber
0,4096,1551,0.378662109375
1,4096,1706,0.41650390625
2,4096,1562,0.38134765625
3,4096,1646,0.40185546875
4,4096,1676,0.4091796875
5,4096,1631,0.398193359375
6,4096,1570,0.38330078125
7,4096,1640,0.400390625
