channel,time_start,time_end,freq_start,freq_end,total,errors,ber
1,176,192,0,4,64,39,0.609375
4,48,64,4,8,64,39,0.609375
4,144,160,4,8,64,39,0.609375
6,80,96,0,4,64,39,0.609375
1,224,240,8,12,64,38,0.59375
4,192,208,0,4,64,38,0.59375
5,176,192,12,16,64,38,0.59375
1,112,128,8,12,64,37,0.578125
1,144,160,4,8,64,37,0.578125
1,224,240,0,4,64,37,0.578125
4,240,256,12,16,64,37,0.578125
7,208,224,8,12,64,37,0.578125
1,64,80,12,16,64,36,0.5625
1,96,112,12,16,64,36,0.5625
4,48,64,12,16,64,36,0.5625
4,176,192,0,4,64,36,0.5625
7,48,64,0,4,64,36,0.5625
7,48,64,8,12,64,36,0.5625
7,112,128,12,16,64,36,0.5625
1,192,208,8,12,64,35,0.546875
3,128,144,4,8,64,35,0.546875
3,208,224,0,4,64,35,0.546875
3,224,240,4,8,64,35,0.546875
3,240,256,4,8,64,35,0.546875
4,112,128,12,16,64,35,0.546875
6,64,80,0,4,64,35,0.546875
6,192,208,4,8,64,35,0.546875
7,192,208,4,8,64,35,0.546875
7,224,240,0,4,64,35,0.546875
0,240,256,12,16,64,34,0.53125
1,48,64,8,12,64,34,0.53125
1,128,144,8,12,64,34,0.53125
1,192,208,12,16,64,34,0.53125
1,240,256,12,16,64,34,0.53125
2,64,80,0,4,64,34,0.53125
2,80,96,12,16,64,34,0.53125
2,144,160,0,4,64,34,0.53125
3,128,144,0,4,64,34,0.53125
4,128,144,0,4,64,34,0.53125
4,240,256,8,12,64,34,0.53125
5,48,64,0,4,64,34,0.53125
5,80,96,0,4,64,34,0.53125
6,144,160,0,4,64,34,0.53125
7,48,64,4,8,64,34,0.53125
0,144,160,12,16,64,33,0.515625
0,192,208,0,4,64,33,0.515625
1,48,64,12,16,64,33,0.515625
1,192,208,4,8,64,33,0.515625
1,240,256,8,12,64,33,0.515625
3,80,96,0,4,64,33,0.515625
3,144,160,0,4,64,33,0.515625
3,160,176,8,12,64,33,0.515625
3,176,192,0,4,64,33,0.515625
3,208,224,4,8,64,33,0.515625
3,224,240,8,12,64,33,0.515625
4,208,224,8,12,64,33,0.515625
5,160,176,12,16,64,33,0.515625
5,176,192,8,12,64,33,0.515625
5,208,224,0,4,64,33,0.515625
6,64,80,8,12,64,33,0.515625
6,80,96,8,12,64,33,0.515625
7,112,128,0,4,64,33,0.515625
0,48,64,4,8,64,32,0.5
0,80,96,12,16,64,32,0.5
0,208,224,8,12,64,32,0.5
0,224,240,8,12,64,32,0.5
1,32,48,12,16,64,32,0.5
1,48,64,0,4,64,32,0.5
1,64,80,4,8,64,32,0.5
1,128,144,12,16,64,32,0.5
1,160,176,0,4,64,32,0.5
1,176,192,8,12,64,32,0.5
2,128,144,4,8,64,32,0.5
2,160,176,0,4,64,32,0.5
2,176,192,8,12,64,32,0.5
2,208,224,4,8,64,32,0.5
3,160,176,0,4,64,32,0.5
4,48,64,8,12,64,32,0.5
4,192,208,4,8,64,32,0.5
4,240,256,0,4,64,32,0.5
5,32,48,0,4,64,32,0.5
5,32,48,4,8,64,32,0.5
5,240,256,12,16,64,32,0.5
6,48,64,0,4,64,32,0.5
6,96,112,8,12,64,32,0.5
6,96,112,12,16,64,32,0.5
6,208,224,0,4,64,32,0.5
7,96,112,8,12,64,32,0.5
7,144,160,8,12,64,32,0.5
7,208,224,12,16,64,32,0.5
7,224,240,12,16,64,32,0.5
7,240,256,4,8,64,32,0.5
0,48,64,8,12,64,31,0.484375
0,176,192,12,16,64,31,0.484375
0,208,224,0,4,64,31,0.484375
1,80,96,8,12,64,31,0.484375
1,80,96,12,16,64,31,0.484375
1,96,112,0,4,64,31,0.484375
1,112,128,4,8,64,31,0.484375
1,128,144,0,4,64,31,0.484375
1,144,160,0,4,64,31,0.484375
1,144,160,8,12,64,31,0.484375
1,144,160,12,16,64,31,0.484375
1,160,176,12,16,64,31,0.484375
1,208,224,12,16,64,31,0.484375
2,64,80,12,16,64,31,0.484375
2,80,96,8,12,64,31,0.484375
2,224,240,0,4,64,31,0.484375
2,224,240,4,8,64,31,0.484375
3,48,64,8,12,64,31,0.484375
3,96,112,8,12,64,31,0.484375
3,112,128,0,4,64,31,0.484375
3,144,160,8,12,64,31,0.484375
3,160,176,12,16,64,31,0.484375
3,208,224,12,16,64,31,0.484375
3,224,240,12,16,64,31,0.484375
4,96,112,0,4,64,31,0.484375
4,208,224,4,8,64,31,0.484375
4,208,224,12,16,64,31,0.484375
5,96,112,0,4,64,31,0.484375
5,96,112,4,8,64,31,0.484375
5,112,128,12,16,64,31,0.484375
5,128,144,12,16,64,31,0.484375
5,208,224,12,16,64,31,0.484375
5,224,240,4,8,64,31,0.484375
5,240,256,4,8,64,31,0.484375
6,96,112,0,4,64,31,0.484375
6,144,160,12,16,64,31,0.484375
6,240,256,0,4,64,31,0.484375
7,32,48,8,12,64,31,0.484375
7,64,80,0,4,64,31,0.484375
7,64,80,8,12,64,31,0.484375
7,96,112,12,16,64,31,0.484375
7,128,144,8,12,64,31,0.484375
7,144,160,0,4,64,31,0.484375
7,176,192,8,12,64,31,0.484375
0,64,80,4,8,64,30,0.46875
0,64,80,8,12,64,30,0.46875
0,112,128,12,16,64,30,0.46875
0,144,160,4,8,64,30,0.46875
0,176,192,0,4,64,30,0.46875
0,176,192,8,12,64,30,0.46875
1,64,80,8,12,64,30,0.46875
1,80,96,4,8,64,30,0.46875
