flat_index,channel,time,freq,embedded_bit,decoded_bit,error,recovered_z,embedded_z,abs_z_diff
5,0,0,5,0,1,1,0.1320984810590744,-0.6744897365570068,0.8065882176160812
7,0,0,7,0,1,1,0.25044745206832886,-0.6744897365570068,0.9249371886253357
9,0,0,9,1,0,1,-0.1304597705602646,0.6744897365570068,0.8049495071172714
11,0,0,11,0,1,1,0.24888621270656586,-0.6744897365570068,0.9233759492635727
14,0,0,14,0,1,1,0.428179532289505,-0.6744897365570068,1.1026692688465118
15,0,0,15,1,0,1,-0.1738767921924591,0.6744897365570068,0.8483665287494659
27,0,1,11,0,1,1,0.18786059319972992,-0.6744897365570068,0.8623503297567368
31,0,1,15,0,1,1,0.8721596002578735,-0.6744897365570068,1.5466493368148804
97,0,6,1,0,1,1,0.05820591002702713,-0.6744897365570068,0.732695646584034
127,0,7,15,0,1,1,0.15281517803668976,-0.6744897365570068,0.8273049145936966
160,0,10,0,0,1,1,0.028432412073016167,-0.6744897365570068,0.702922148630023
176,0,11,0,0,1,1,0.257226824760437,-0.6744897365570068,0.9317165613174438
181,0,11,5,0,1,1,0.0474962554872036,-0.6744897365570068,0.7219859920442104
192,0,12,0,0,1,1,0.37415561079978943,-0.6744897365570068,1.0486453473567963
196,0,12,4,0,1,1,0.16054368019104004,-0.6744897365570068,0.8350334167480469
208,0,13,0,0,1,1,0.18021677434444427,-0.6744897365570068,0.8547065109014511
223,0,13,15,0,1,1,0.6970227360725403,-0.6744897365570068,1.3715124726295471
227,0,14,3,0,1,1,0.08613494038581848,-0.6744897365570068,0.7606246769428253
228,0,14,4,0,1,1,0.1190263107419014,-0.6744897365570068,0.7935160472989082
238,0,14,14,0,1,1,0.15586157143115997,-0.6744897365570068,0.8303513079881668
257,0,16,1,0,1,1,0.05071931704878807,-0.6744897365570068,0.7252090536057949
272,0,17,0,0,1,1,0.5167813897132874,-0.6744897365570068,1.1912711262702942
274,0,17,2,1,0,1,-0.15091362595558167,0.6744897365570068,0.8254033625125885
304,0,19,0,0,1,1,0.20158620178699493,-0.6744897365570068,0.8760759383440018
351,0,21,15,0,1,1,0.4142826795578003,-0.6744897365570068,1.0887724161148071
383,0,23,15,0,1,1,0.08155557513237,-0.6744897365570068,0.7560453116893768
400,0,25,0,0,1,1,0.2125353068113327,-0.6744897365570068,0.8870250433683395
424,0,26,8,0,1,1,0.006608118303120136,-0.6744897365570068,0.681097854860127
448,0,28,0,0,1,1,0.28870344161987305,-0.6744897365570068,0.9631931781768799
480,0,30,0,0,1,1,0.22115777432918549,-0.6744897365570068,0.8956475108861923
485,0,30,5,0,1,1,0.19521890580654144,-0.6744897365570068,0.8697086423635483
514,0,32,2,0,1,1,0.058538053184747696,-0.6744897365570068,0.7330277897417545
528,0,33,0,0,1,1,1.112568736076355,-0.6744897365570068,1.7870584726333618
529,0,33,1,0,1,1,1.8795279264450073,-0.6744897365570068,2.554017663002014
531,0,33,3,0,1,1,0.8490790128707886,-0.6744897365570068,1.5235687494277954
535,0,33,7,1,0,1,-0.23174293339252472,0.6744897365570068,0.9062326699495316
538,0,33,10,0,1,1,0.5805968046188354,-0.6744897365570068,1.2550865411758423
541,0,33,13,0,1,1,0.6185494065284729,-0.6744897365570068,1.2930391430854797
545,0,34,1,0,1,1,0.6933327317237854,-0.6744897365570068,1.3678224682807922
546,0,34,2,0,1,1,0.6243377923965454,-0.6744897365570068,1.2988275289535522
551,0,34,7,0,1,1,0.14472626149654388,-0.6744897365570068,0.8192159980535507
552,0,34,8,1,0,1,-0.31704181432724,0.6744897365570068,0.9915315508842468
556,0,34,12,0,1,1,0.27586665749549866,-0.6744897365570068,0.9503563940525055
558,0,34,14,1,0,1,-0.2391621172428131,0.6744897365570068,0.91365185379982
559,0,34,15,1,0,1,-0.20450592041015625,0.6744897365570068,0.8789956569671631
560,0,35,0,0,1,1,0.7002909183502197,-0.6744897365570068,1.3747806549072266
561,0,35,1,1,0,1,-0.11470597237348557,0.6744897365570068,0.7891957089304924
563,0,35,3,0,1,1,0.5051481127738953,-0.6744897365570068,1.179637849330902
564,0,35,4,0,1,1,0.17770379781723022,-0.6744897365570068,0.8521935343742371
565,0,35,5,0,1,1,0.4881918430328369,-0.6744897365570068,1.1626815795898438
566,0,35,6,0,1,1,0.6678004264831543,-0.6744897365570068,1.3422901630401611
570,0,35,10,0,1,1,0.49448901414871216,-0.6744897365570068,1.168978750705719
573,0,35,13,0,1,1,0.09797584265470505,-0.6744897365570068,0.7724655792117119
577,0,36,1,1,0,1,-0.642681360244751,0.6744897365570068,1.3171710968017578
579,0,36,3,1,0,1,-0.9144687652587891,0.6744897365570068,1.588958501815796
581,0,36,5,0,1,1,0.19945688545703888,-0.6744897365570068,0.8739466220140457
582,0,36,6,0,1,1,0.2061324119567871,-0.6744897365570068,0.880622148513794
584,0,36,8,1,0,1,-0.6089819073677063,0.6744897365570068,1.2834716439247131
588,0,36,12,1,0,1,-0.2775540053844452,0.6744897365570068,0.952043741941452
591,0,36,15,0,1,1,0.43016478419303894,-0.6744897365570068,1.1046545207500458
592,0,37,0,0,1,1,0.7490592002868652,-0.6744897365570068,1.423548936843872
593,0,37,1,1,0,1,-0.27997198700904846,0.6744897365570068,0.9544617235660553
595,0,37,3,1,0,1,-0.10622566193342209,0.6744897365570068,0.7807153984904289
599,0,37,7,1,0,1,-0.10396424680948257,0.6744897365570068,0.7784539833664894
600,0,37,8,0,1,1,1.0190765857696533,-0.6744897365570068,1.6935663223266602
602,0,37,10,1,0,1,-0.09277023375034332,0.6744897365570068,0.7672599703073502
605,0,37,13,1,0,1,-0.09501860290765762,0.6744897365570068,0.7695083394646645
607,0,37,15,1,0,1,-0.901265561580658,0.6744897365570068,1.5757552981376648
608,0,38,0,0,1,1,0.3048258125782013,-0.6744897365570068,0.9793155491352081
609,0,38,1,0,1,1,0.41951003670692444,-0.6744897365570068,1.0939997732639313
614,0,38,6,0,1,1,1.0334322452545166,-0.6744897365570068,1.7079219818115234
615,0,38,7,0,1,1,0.36721479892730713,-0.6744897365570068,1.041704535484314
618,0,38,10,0,1,1,0.2632679343223572,-0.6744897365570068,0.937757670879364
621,0,38,13,1,0,1,-0.5714467167854309,0.6744897365570068,1.2459364533424377
622,0,38,14,1,0,1,-0.12726552784442902,0.6744897365570068,0.8017552644014359
623,0,38,15,1,0,1,-0.3858323395252228,0.6744897365570068,1.0603220760822296
624,0,39,0,0,1,1,0.23613965511322021,-0.6744897365570068,0.910629391670227
633,0,39,9,1,0,1,-0.408120334148407,0.6744897365570068,1.0826100707054138
636,0,39,12,1,0,1,-0.6950548887252808,0.6744897365570068,1.3695446252822876
640,0,40,0,0,1,1,1.3123170137405396,-0.6744897365570068,1.9868067502975464
645,0,40,5,0,1,1,0.012429089285433292,-0.6744897365570068,0.6869188258424401
646,0,40,6,0,1,1,0.7358038425445557,-0.6744897365570068,1.4102935791015625
648,0,40,8,0,1,1,0.7840894460678101,-0.6744897365570068,1.458579182624817
654,0,40,14,1,0,1,-0.7768920063972473,0.6744897365570068,1.4513817429542542
655,0,40,15,1,0,1,-0.6565890312194824,0.6744897365570068,1.3310787677764893
657,0,41,1,1,0,1,-0.10991785675287247,0.6744897365570068,0.7844075933098793
658,0,41,2,1,0,1,-0.5661976337432861,0.6744897365570068,1.240687370300293
660,0,41,4,1,0,1,-0.04413674771785736,0.6744897365570068,0.7186264842748642
662,0,41,6,1,0,1,-0.6880096793174744,0.6744897365570068,1.3624994158744812
663,0,41,7,0,1,1,0.42459821701049805,-0.6744897365570068,1.0990879535675049
666,0,41,10,1,0,1,-0.5833235383033752,0.6744897365570068,1.257813274860382
667,0,41,11,0,1,1,1.0759034156799316,-0.6744897365570068,1.7503931522369385
671,0,41,15,0,1,1,0.25173038244247437,-0.6744897365570068,0.9262201189994812
672,0,42,0,0,1,1,0.5996187925338745,-0.6744897365570068,1.2741085290908813
673,0,42,1,1,0,1,-1.046574592590332,0.6744897365570068,1.7210643291473389
676,0,42,4,0,1,1,0.4481213092803955,-0.6744897365570068,1.1226110458374023
677,0,42,5,0,1,1,0.16817106306552887,-0.6744897365570068,0.8426607996225357
680,0,42,8,0,1,1,0.14896206557750702,-0.6744897365570068,0.8234518021345139
681,0,42,9,1,0,1,-0.7900908589363098,0.6744897365570068,1.4645805954933167
682,0,42,10,1,0,1,-0.12506935000419617,0.6744897365570068,0.799559086561203
683,0,42,11,1,0,1,-0.1335974931716919,0.6744897365570068,0.8080872297286987
684,0,42,12,1,0,1,-0.226145938038826,0.6744897365570068,0.9006356745958328
685,0,42,13,1,0,1,-0.2563445270061493,0.6744897365570068,0.9308342635631561
687,0,42,15,1,0,1,-0.6623165011405945,0.6744897365570068,1.3368062376976013
688,0,43,0,0,1,1,0.7864943742752075,-0.6744897365570068,1.4609841108322144
690,0,43,2,1,0,1,-0.9031790494918823,0.6744897365570068,1.5776687860488892
692,0,43,4,1,0,1,-0.0669509544968605,0.6744897365570068,0.7414406910538673
693,0,43,5,1,0,1,-0.048089876770973206,0.6744897365570068,0.72257961332798
694,0,43,6,0,1,1,0.8273302912712097,-0.6744897365570068,1.5018200278282166
695,0,43,7,0,1,1,0.53052818775177,-0.6744897365570068,1.2050179243087769
696,0,43,8,1,0,1,-0.22665910422801971,0.6744897365570068,0.9011488407850266
699,0,43,11,0,1,1,0.6871181726455688,-0.6744897365570068,1.3616079092025757
700,0,43,12,0,1,1,0.45401403307914734,-0.6744897365570068,1.1285037696361542
704,0,44,0,0,1,1,0.4856216609477997,-0.6744897365570068,1.1601113975048065
707,0,44,3,0,1,1,0.5491674542427063,-0.6744897365570068,1.2236571907997131
712,0,44,8,1,0,1,-0.8333448171615601,0.6744897365570068,1.507834553718567
714,0,44,10,0,1,1,0.018830636516213417,-0.6744897365570068,0.6933203730732203
716,0,44,12,1,0,1,-0.36764100193977356,0.6744897365570068,1.0421307384967804
725,0,45,5,0,1,1,0.5117323398590088,-0.6744897365570068,1.1862220764160156
728,0,45,8,1,0,1,-0.04452379792928696,0.6744897365570068,0.7190135344862938
730,0,45,10,0,1,1,0.030507368966937065,-0.6744897365570068,0.7049971055239439
732,0,45,12,0,1,1,0.22259725630283356,-0.6744897365570068,0.8970869928598404
