channel,total,errors,ber
0,4096,813,0.198486328125
1,4096,1793,0.437744140625
2,4096,1770,0.43212890625
3,4096,575,0.140380859375
4,4096,950,0.23193359375
5,4096,734,0.17919921875
6,4096,642,0.15673828125
7,4096,556,0.1357421875
