time,total,errors,ber
0,128,32,0.25
1,128,31,0.2421875
2,128,19,0.1484375
3,128,23,0.1796875
4,128,28,0.21875
5,128,18,0.140625
6,128,35,0.2734375
7,128,31,0.2421875
8,128,33,0.2578125
9,128,20,0.15625
10,128,21,0.1640625
11,128,31,0.2421875
12,128,21,0.1640625
13,128,24,0.1875
14,128,22,0.171875
15,128,22,0.171875
16,128,38,0.296875
17,128,24,0.1875
18,128,27,0.2109375
19,128,32,0.25
20,128,33,0.2578125
21,128,27,0.2109375
22,128,25,0.1953125
23,128,28,0.21875
24,128,25,0.1953125
25,128,21,0.1640625
26,128,20,0.15625
27,128,26,0.203125
28,128,27,0.2109375
29,128,28,0.21875
30,128,25,0.1953125
31,128,20,0.15625
32,128,19,0.1484375
33,128,27,0.2109375
34,128,33,0.2578125
35,128,29,0.2265625
36,128,18,0.140625
37,128,20,0.15625
38,128,20,0.15625
39,128,24,0.1875
40,128,19,0.1484375
41,128,20,0.15625
42,128,23,0.1796875
43,128,28,0.21875
44,128,28,0.21875
45,128,26,0.203125
46,128,27,0.2109375
47,128,17,0.1328125
48,128,29,0.2265625
49,128,19,0.1484375
50,128,24,0.1875
51,128,31,0.2421875
52,128,23,0.1796875
53,128,19,0.1484375
54,128,26,0.203125
55,128,21,0.1640625
56,128,28,0.21875
57,128,26,0.203125
58,128,26,0.203125
59,128,25,0.1953125
60,128,27,0.2109375
61,128,27,0.2109375
62,128,22,0.171875
63,128,23,0.1796875
64,128,27,0.2109375
65,128,27,0.2109375
66,128,29,0.2265625
67,128,23,0.1796875
68,128,25,0.1953125
69,128,25,0.1953125
70,128,27,0.2109375
71,128,25,0.1953125
72,128,27,0.2109375
73,128,22,0.171875
74,128,23,0.1796875
75,128,30,0.234375
76,128,20,0.15625
77,128,22,0.171875
78,128,27,0.2109375
79,128,22,0.171875
80,128,26,0.203125
81,128,24,0.1875
82,128,22,0.171875
83,128,24,0.1875
84,128,32,0.25
85,128,20,0.15625
86,128,22,0.171875
87,128,19,0.1484375
88,128,28,0.21875
89,128,32,0.25
90,128,22,0.171875
91,128,18,0.140625
92,128,26,0.203125
93,128,24,0.1875
94,128,30,0.234375
95,128,25,0.1953125
96,128,25,0.1953125
97,128,26,0.203125
98,128,24,0.1875
99,128,28,0.21875
100,128,25,0.1953125
101,128,23,0.1796875
102,128,27,0.2109375
103,128,22,0.171875
104,128,22,0.171875
105,128,21,0.1640625
106,128,24,0.1875
107,128,24,0.1875
108,128,25,0.1953125
109,128,20,0.15625
110,128,22,0.171875
111,128,28,0.21875
112,128,30,0.234375
113,128,29,0.2265625
114,128,33,0.2578125
115,128,36,0.28125
116,128,18,0.140625
117,128,25,0.1953125
118,128,27,0.2109375
119,128,28,0.21875
120,128,23,0.1796875
121,128,21,0.1640625
122,128,21,0.1640625
123,128,23,0.1796875
124,128,14,0.109375
125,128,29,0.2265625
126,128,27,0.2109375
127,128,27,0.2109375
128,128,26,0.203125
129,128,21,0.1640625
130,128,25,0.1953125
131,128,26,0.203125
132,128,27,0.2109375
133,128,25,0.1953125
134,128,26,0.203125
135,128,22,0.171875
136,128,27,0.2109375
137,128,30,0.234375
138,128,24,0.1875
139,128,22,0.171875
140,128,25,0.1953125
141,128,31,0.2421875
142,128,29,0.2265625
143,128,26,0.203125
144,128,21,0.1640625
145,128,24,0.1875
146,128,27,0.2109375
147,128,24,0.1875
148,128,37,0.2890625
149,128,30,0.234375
150,128,27,0.2109375
151,128,31,0.2421875
152,128,24,0.1875
153,128,19,0.1484375
154,128,18,0.140625
155,128,24,0.1875
156,128,24,0.1875
157,128,28,0.21875
158,128,23,0.1796875
159,128,19,0.1484375
160,128,30,0.234375
161,128,34,0.265625
162,128,23,0.1796875
163,128,28,0.21875
164,128,21,0.1640625
165,128,34,0.265625
166,128,22,0.171875
167,128,18,0.140625
168,128,31,0.2421875
169,128,29,0.2265625
170,128,21,0.1640625
171,128,22,0.171875
172,128,27,0.2109375
173,128,19,0.1484375
174,128,26,0.203125
175,128,26,0.203125
176,128,26,0.203125
177,128,28,0.21875
178,128,25,0.1953125
179,128,33,0.2578125
180,128,24,0.1875
181,128,22,0.171875
182,128,24,0.1875
183,128,19,0.1484375
184,128,27,0.2109375
185,128,16,0.125
186,128,21,0.1640625
187,128,27,0.2109375
188,128,29,0.2265625
189,128,21,0.1640625
190,128,23,0.1796875
191,128,24,0.1875
192,128,33,0.2578125
193,128,28,0.21875
194,128,22,0.171875
195,128,38,0.296875
196,128,37,0.2890625
197,128,27,0.2109375
198,128,35,0.2734375
199,128,30,0.234375
200,128,29,0.2265625
201,128,24,0.1875
202,128,35,0.2734375
203,128,34,0.265625
204,128,28,0.21875
205,128,21,0.1640625
206,128,25,0.1953125
207,128,23,0.1796875
208,128,28,0.21875
209,128,21,0.1640625
210,128,26,0.203125
211,128,26,0.203125
212,128,27,0.2109375
213,128,23,0.1796875
214,128,20,0.15625
215,128,27,0.2109375
216,128,25,0.1953125
217,128,30,0.234375
218,128,49,0.3828125
219,128,38,0.296875
220,128,56,0.4375
221,128,60,0.46875
222,128,55,0.4296875
223,128,62,0.484375
224,128,62,0.484375
225,128,66,0.515625
226,128,60,0.46875
227,128,60,0.46875
228,128,71,0.5546875
229,128,66,0.515625
230,128,67,0.5234375
231,128,64,0.5
232,128,66,0.515625
233,128,58,0.453125
234,128,59,0.4609375
235,128,63,0.4921875
236,128,65,0.5078125
237,128,63,0.4921875
238,128,57,0.4453125
239,128,63,0.4921875
240,128,57,0.4453125
241,128,64,0.5
242,128,63,0.4921875
243,128,56,0.4375
244,128,57,0.4453125
245,128,66,0.515625
246,128,58,0.453125
247,128,64,0.5
248,128,53,0.4140625
249,128,56,0.4375
250,128,59,0.4609375
251,128,58,0.453125
252,128,61,0.4765625
253,128,74,0.578125
254,128,64,0.5
255,128,56,0.4375
