flat_index,channel,time,freq,embedded_bit,decoded_bit,error,recovered_z,embedded_z,abs_z_diff
0,0,0,0,1,0,1,-0.2623177170753479,0.6744897365570068,0.9368074536323547
7,0,0,7,1,0,1,-0.3233737647533417,0.6744897365570068,0.9978635013103485
13,0,0,13,1,0,1,-0.2502593696117401,0.6744897365570068,0.924749106168747
14,0,0,14,1,0,1,-0.2479468584060669,0.6744897365570068,0.9224365949630737
19,0,1,3,0,1,1,0.09328313171863556,-0.6744897365570068,0.7677728682756424
20,0,1,4,0,1,1,0.15415924787521362,-0.6744897365570068,0.8286489844322205
32,0,2,0,1,0,1,-0.2738444209098816,0.6744897365570068,0.9483341574668884
53,0,3,5,1,0,1,-0.3791807293891907,0.6744897365570068,1.0536704659461975
54,0,3,6,1,0,1,-0.20585624873638153,0.6744897365570068,0.8803459852933884
64,0,4,0,1,0,1,-0.4428047835826874,0.6744897365570068,1.1172945201396942
71,0,4,7,1,0,1,-0.387887179851532,0.6744897365570068,1.0623769164085388
97,0,6,1,0,1,1,0.18616290390491486,-0.6744897365570068,0.8606526404619217
98,0,6,2,1,0,1,-0.35568591952323914,0.6744897365570068,1.030175656080246
105,0,6,9,0,1,1,0.2638702690601349,-0.6744897365570068,0.9383600056171417
107,0,6,11,1,0,1,-0.07620101422071457,0.6744897365570068,0.7506907507777214
126,0,7,14,1,0,1,-0.38532352447509766,0.6744897365570068,1.0598132610321045
134,0,8,6,1,0,1,-0.11267287284135818,0.6744897365570068,0.787162609398365
147,0,9,3,1,0,1,-0.1982152760028839,0.6744897365570068,0.8727050125598907
149,0,9,5,1,0,1,-0.28463831543922424,0.6744897365570068,0.9591280519962311
150,0,9,6,1,0,1,-0.08797559887170792,0.6744897365570068,0.7624653354287148
166,0,10,6,1,0,1,-0.24683354794979095,0.6744897365570068,0.9213232845067978
167,0,10,7,1,0,1,-0.04811597242951393,0.6744897365570068,0.7226057089865208
176,0,11,0,1,0,1,-0.7593138813972473,0.6744897365570068,1.4338036179542542
186,0,11,10,1,0,1,-0.5840867757797241,0.6744897365570068,1.258576512336731
199,0,12,7,1,0,1,-0.10192951560020447,0.6744897365570068,0.7764192521572113
